task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
4	dd/4476e3	161624	calling_pipeline:getParams	COMPLETED	0	2026-06-04 12:02:37.042	1.2s	4ms	116.4%	0	0	74.3 KB	2.7 KB
1	da/66b3d8	161653	validate_sample_sheet	COMPLETED	0	2026-06-04 12:02:37.084	1.2s	247ms	58.2%	5.8 MB	12.9 MB	1.1 MB	808.8 KB
6	09/3fe416	162524	fastcat (2)	COMPLETED	0	2026-06-04 12:02:38.264	1.1s	344ms	334.4%	34.9 MB	227.2 MB	73 MB	73.2 MB
3	38/a54665	161664	calling_pipeline:baktaVersion	COMPLETED	0	2026-06-04 12:02:37.087	2.6s	1.5s	253.4%	143.7 MB	4.7 GB	27.4 MB	20.8 MB
2	9d/152753	161681	calling_pipeline:run_isolates:create_sourmash_picklist	COMPLETED	0	2026-06-04 12:02:37.089	2.7s	1.7s	233.8%	179.8 MB	4.5 GB	32.9 MB	24.1 MB
7	c6/e7d236	163268	fastlintFilter (1)	COMPLETED	0	2026-06-04 12:02:39.368	1.5s	691ms	209.2%	10.8 MB	243.5 MB	95.4 MB	121.7 MB
5	64/95f5be	162517	fastcat (1)	COMPLETED	0	2026-06-04 12:02:38.261	3.1s	2.5s	407.6%	95.2 MB	551.1 MB	490.1 MB	489.9 MB
9	51/2701a0	164018	calling_pipeline:collectFastqIngressResultsInDir (1)	COMPLETED	0	2026-06-04 12:02:40.869	1.1s	21ms	67.4%	2.8 MB	3.8 MB	90.3 KB	574 B
10	8d/b0ea50	163984	calling_pipeline:ingressCheckpoint (1)	COMPLETED	0	2026-06-04 12:02:40.863	1.2s	2ms	160.0%	0	0	58 KB	544 B
12	1e/b0e742	163992	calling_pipeline:variantCheckpoint (1)	COMPLETED	0	2026-06-04 12:02:40.865	1.3s	4ms	148.8%	0	0	57.8 KB	360 B
8	af/84c68b	163446	calling_pipeline:medakaVersion	COMPLETED	0	2026-06-04 12:02:39.657	4.1s	3.5s	46.4%	314.3 MB	765.3 MB	33.7 MB	4.4 KB
